,symbol,market_cap
0,ADA,8088544768.0
1,BCH,20473643008.0
2,BCN,825331456.0
3,BTC,175427076096.0
4,BTG,1905436416.0
5,BTS,576510720.0
6,DASH,4621817856.0
7,DCR,510536256.0
8,DOGE,685115008.0
9,EOS,5859144192.0
10,ETC,3370091264.0
11,ETH,83808206848.0
12,ICX,1369151104.0
13,LSK,1877401216.0
14,LTC,11257604096.0
15,MIOTA,5152713728.0
16,NANO,1920725248.0
17,NEO,8687141888.0
18,QTUM,1944899968.0
19,SC,629802880.0
20,STEEM,821323072.0
21,STRAT,728712000.0
22,TRX,2860964096.0
23,WAVES,630493888.0
24,XEM,3595397120.0
25,XLM,6170521600.0
26,XMR,4511848448.0
27,XRP,35346825216.0
28,XVG,786876800.0
29,ZEC,1293468544.0
