Date,ADA,ARDR,BCH,BCN,BTC,BTG,BTS,DASH,DOGE,EOS,ETC,ETH,HC,ICX,KMD,LSK,LTC,MIOTA,NANO,NEO,QTUM,STRAT,TRX,WAVES,XEM,XLM,XMR,XRP,XVG,ZEC
2018-01-01,18637600768.0,1724809088.0,42804789248.0,1081234304.0,236724797440.0,4379176960.0,1731709056.0,8207993344.0,1016686144.0,5041597440.0,2770759936.0,73075769344.0,1258145664.0,2017570944.0,1024206592.0,2409861376.0,12639723520.0,9883746304.0,2905245440.0,4952452608.0,4597211648.0,1388102912.0,2937739776.0,1262604032.0,9315312640.0,6436761600.0,5434337792.0,88945876992.0,3195982592.0,1502586880.0
2018-01-02,18788726784.0,1606009344.0,41114820608.0,1077123968.0,228578836480.0,4610459136.0,2001141888.0,8218419712.0,998994752.0,5144576512.0,3405132032.0,74695671808.0,1187354624.0,2328007680.0,1002936576.0,2465831680.0,12496864256.0,11363402752.0,3951462400.0,5104176128.0,4514722816.0,1562839040.0,3423532032.0,1253639552.0,9374972928.0,8873698304.0,5582207488.0,91791777792.0,2266238720.0,1713991296.0
2018-01-03,20214833152.0,1825239552.0,45613334528.0,1165827456.0,251311702016.0,4622802944.0,2069988480.0,9422639104.0,1023382528.0,5394842112.0,3450395136.0,85703540736.0,1098687616.0,2446915840.0,1085854208.0,2558307072.0,13957778432.0,11109721088.0,4456802304.0,5869253632.0,4466388992.0,1587681408.0,5170987520.0,1331821440.0,10333664256.0,10059814912.0,5953924096.0,95457181696.0,2089654272.0,1727627776.0
2018-01-04,28364881920.0,1962995456.0,44069146624.0,1170307456.0,256250429440.0,4561520128.0,2323761408.0,9151080448.0,1052520320.0,6076406272.0,3404930048.0,93049372672.0,1069003328.0,2794050048.0,1037167232.0,2466635264.0,13403430912.0,11466372096.0,3290565632.0,6811420672.0,4357856256.0,1662062464.0,6240822272.0,1306405632.0,16520262656.0,15953612800.0,6448110592.0,120763162624.0,2107466496.0,1737199616.0
2018-01-05,30364432384.0,1737682048.0,40557621248.0,1272747648.0,259747708928.0,4598032384.0,2186951936.0,9527169024.0,1088066304.0,6549905920.0,3576724224.0,94423851008.0,1044545664.0,2765274112.0,976546112.0,2496764928.0,13164752896.0,11286604800.0,4360847872.0,6429221888.0,4234743040.0,1578710912.0,13779454976.0,1245137920.0,15195639808.0,13219446784.0,6262553600.0,127870451712.0,2312325120.0,1764631040.0
2018-01-06,25849278464.0,1533606656.0,43653160960.0,2695913472.0,293090852864.0,4646526976.0,2032972544.0,9026111488.0,1377291136.0,6324243968.0,3591716352.0,96326549504.0,975835264.0,2607474432.0,878877760.0,2879816704.0,13645323264.0,10436931584.0,4182053632.0,6195061248.0,4644756480.0,1490414848.0,14760395776.0,1201903872.0,14216687616.0,11854045184.0,5999260160.0,117032837120.0,2623239680.0,1759865344.0
2018-01-07,26553163776.0,1717755008.0,47053955072.0,3050237440.0,294222364672.0,5018027520.0,2150013952.0,9881506816.0,1653068032.0,7495317504.0,3802870016.0,100981178368.0,1106381056.0,2947305216.0,978064256.0,3633926144.0,16178132992.0,10968274944.0,3895910144.0,6572871680.0,6940934144.0,1586135552.0,11418986496.0,1287403776.0,14898824192.0,12688414720.0,7103000064.0,119818665984.0,2542480128.0,2269631488.0
2018-01-08,25909678080.0,1823606272.0,47091572736.0,2828193792.0,276611596288.0,5063527424.0,2126429440.0,10016158720.0,1928415872.0,7367782912.0,4069113856.0,112163954688.0,1057572736.0,3730785792.0,1191032960.0,3922182656.0,15726841856.0,11314454528.0,3603265536.0,6638003712.0,6358226944.0,1680523904.0,13491206144.0,1284772096.0,16454008832.0,12442132480.0,7139006464.0,130301689856.0,2620877568.0,2659818752.0
2018-01-09,23287306240.0,1557369472.0,40770859008.0,2396776960.0,253935419392.0,4005018880.0,1997476864.0,8476038144.0,1698421760.0,5711469056.0,3374259968.0,110999126016.0,858145280.0,3928182784.0,1000437376.0,3643654656.0,13920167936.0,10680511488.0,3426899712.0,6634308096.0,4116558592.0,2164945664.0,10136077312.0,1353298816.0,15047224320.0,11229073408.0,6289414144.0,94657470464.0,2573021696.0,2090109440.0
2018-01-10,21153171456.0,1526234112.0,40397955072.0,2155685120.0,244980531200.0,4035920128.0,1799188992.0,8710308864.0,1527609984.0,5534141952.0,3774735616.0,125975928832.0,962983040.0,4645355008.0,935412160.0,3500535808.0,13566328832.0,9882998784.0,4027155200.0,8270279680.0,3942310400.0,1909327232.0,8351343104.0,1303834112.0,13913861120.0,10523624448.0,6439824896.0,82511036416.0,2821193472.0,2032055168.0
