Date,ADA,ARDR,BCH,BCN,BTC,BTG,BTS,DASH,DOGE,EOS,ETC,ETH,HC,ICX,KMD,LSK,LTC,MIOTA,NANO,NEO,QTUM,STRAT,TRX,WAVES,XEM,XLM,XMR,XRP,XVG,ZEC
2018-01-01,0.728657,1.61,2432.54,0.0059240000000000004,13657.2,272.9,0.7685350000000001,1053.98,0.008909,8.84,34.17,772.64,28.28,6.16,9.73,21.13,229.03,3.97,29.57,78.82,60.88,15.7,0.051695000000000005,12.57,1.04,0.480008,358.99,2.39,0.156131,577.19
2018-01-02,0.782587,1.84,2711.0,0.00639,14982.1,277.08,0.792659,1217.72,0.009145,9.33,34.92,884.44,26.23,6.49,10.43,21.95,255.68,4.0,33.7,90.33,60.72,16.08,0.078682,13.35,1.16,0.564766,383.42,2.48,0.144905,583.51
2018-01-03,1.08,1.95,2608.69,0.006408,15201.0,270.24,0.891892,1170.74,0.00932,10.23,34.86,962.72,25.21,7.34,10.01,21.0,245.37,4.13,25.05,105.56,59.09,16.96,0.094703,12.99,1.79,0.896227,412.06,3.11,0.14522100000000002,581.89
2018-01-04,1.11,1.78,2430.18,0.006948,15599.2,273.76,0.843038,1229.79,0.009644,11.28,36.32,980.92,24.73,7.24,9.4,21.46,241.37,4.08,32.68,99.11,57.47,16.06,0.20797399999999996,12.54,1.64,0.72405,403.05,3.2,0.159184,595.19
2018-01-05,0.999559,1.55,2584.48,0.014134,17429.5,277.44,0.775645,1152.41,0.012167,10.84,36.2,997.72,22.96,6.84,8.46,24.16,249.27,3.75,31.4,95.28,62.7,15.19,0.22055500000000003,12.06,1.59,0.662712,384.94,3.05,0.181114,588.85
2018-01-06,1.03,1.7,2786.65,0.016694,17527.0,300.38,0.833124,1265.03,0.014863,12.58,38.42,1041.68,25.75,7.76,9.5,31.24,296.45,3.94,29.29,100.86,94.67,16.19,0.174797,12.86,1.65,0.7099449999999999,452.77,3.09,0.174183,764.26
2018-01-07,1.01,1.82,2786.88,0.015402,16477.6,302.25,0.81719,1285.43,0.017088,12.52,40.79,1153.17,24.83,9.92,11.06,34.11,288.45,4.07,26.51,102.43,85.77,17.05,0.199655,12.95,1.84,0.699645,459.33,3.38,0.18195699999999998,880.76
2018-01-08,0.8990020000000001,1.57,2421.47,0.013158000000000001,15170.1,239.55,0.764256,1087.75,0.015045,9.69,34.19,1148.53,20.16,10.41,9.68,31.3,255.76,3.85,25.8,102.38,55.98,21.75,0.15199300000000002,13.63,1.65,0.629323,405.07,2.46,0.178385,695.49
2018-01-09,0.814743,1.53,2391.56,0.011815,14595.4,240.9,0.688537,1111.86,0.01342,9.33,38.32,1299.74,22.62,12.19,9.03,29.91,247.04,3.54,29.91,126.94,53.21,19.53,0.12478199999999999,12.99,1.54,0.585653,413.33,2.1,0.19605899999999998,672.78
2018-01-10,0.793121,1.59,2895.38,0.011737000000000001,14973.3,243.36,0.6336229999999999,1106.36,0.013102,11.34,36.95,1255.82,20.17,11.04,8.46,29.19,250.52,3.78,29.92,122.99,54.08,19.24,0.129553,12.74,1.45,0.56693,407.74,1.97,0.16863699999999998,721.4
